"LP.","Data","Typ instrumentu","Nazwa","ISIN","Kurs otwarcia","Kurs maksymalny","Kurs minimalny","Kurs zamkniecia","Zmiana","Wolumen obrotu","Liczba transakcji","Wartosc obrotu w tys. zl","Liczba otwartych pozycji","Wartosc otwartych pozycji w mln zl","Cena nominalna obligacji","Waluta"
1008,"2011-11-23",10,"ASSECOBS","PLABS0000018",10,10,"9,85","9,85",0,19164,7,"191,57",0,0,0,
1009,"2011-11-24",10,"ASSECOBS","PLABS0000018","9,89","9,89","9,85","9,85",0,11003,4,"108,38",0,0,0,
1010,"2011-11-25",10,"ASSECOBS","PLABS0000018",0,0,0,"9,85",0,0,0,0,0,0,0,
1011,"2011-11-28",10,"ASSECOBS","PLABS0000018","9,85",10,"9,85",10,"1,52",160,3,"1,59",0,0,0,
1012,"2011-11-29",10,"ASSECOBS","PLABS0000018","9,85","9,95","9,85","9,95","-0,5",200,3,"1,98",0,0,0,
1013,"2011-11-30",10,"ASSECOBS","PLABS0000018","9,8","10,02","9,8","10,02","0,7",180,3,"1,77",0,0,0,
1014,"2011-12-01",10,"ASSECOBS","PLABS0000018","10,05","10,05","9,7","9,9","-1,2",1396,7,"13,71",0,0,0,
1015,"2011-12-02",10,"ASSECOBS","PLABS0000018","9,89",10,"9,65",10,"1,01",1895,8,"18,58",0,0,0,
1016,"2011-12-05",10,"ASSECOBS","PLABS0000018","9,97","9,97","9,8","9,8",-2,13812,2,"135,36",0,0,0,
1017,"2011-12-06",10,"ASSECOBS","PLABS0000018","9,6","9,75","9,6","9,75","-0,51",97,3,"0,94",0,0,0,
1018,"2011-12-07",10,"ASSECOBS","PLABS0000018","9,69","9,69","9,63","9,63","-1,23",280,3,"2,7",0,0,0,
1019,"2011-12-08",10,"ASSECOBS","PLABS0000018","9,66","9,66","9,6","9,6","-0,31",1800,6,"17,28",0,0,0,
1020,"2011-12-09",10,"ASSECOBS","PLABS0000018","9,8","9,83","9,61","9,61","0,1",601,6,"5,84",0,0,0,
1021,"2011-12-12",10,"ASSECOBS","PLABS0000018",0,0,0,"9,61",0,0,0,0,0,0,0,
1022,"2011-12-13",10,"ASSECOBS","PLABS0000018","9,61","9,63","9,6","9,6","-0,1",243624,14,"2338,79",0,0,0,
1023,"2011-12-14",10,"ASSECOBS","PLABS0000018","9,61","9,61","9,5","9,5","-1,04",3406,3,"32,7",0,0,0,
1024,"2011-12-15",10,"ASSECOBS","PLABS0000018","9,41","9,41","9,26","9,26","-2,53",800,4,"7,5",0,0,0,
1025,"2011-12-16",10,"ASSECOBS","PLABS0000018","9,31","9,31",9,"9,19","-0,76",1311,5,"11,94",0,0,0,
1026,"2011-12-19",10,"ASSECOBS","PLABS0000018","9,19","9,19","8,87","8,87","-3,48",582,8,"5,29",0,0,0,
1027,"2011-12-20",10,"ASSECOBS","PLABS0000018","8,66","8,66","8,46","8,6","-3,04",140996,9,"1212,35",0,0,0,
1028,"2011-12-21",10,"ASSECOBS","PLABS0000018","8,6","8,6","8,45","8,45","-1,74",905,5,"7,75",0,0,0,
1029,"2011-12-22",10,"ASSECOBS","PLABS0000018","8,49","8,69","8,49","8,51","0,71",3493,13,"29,75",0,0,0,
1030,"2011-12-23",10,"ASSECOBS","PLABS0000018","8,48","9,2","8,48","9,2","8,11",4117,9,"35,27",0,0,0,
1031,"2011-12-27",10,"ASSECOBS","PLABS0000018","9,26","9,26","8,44","9,25","0,54",1459,12,"12,94",0,0,0,
1032,"2011-12-28",10,"ASSECOBS","PLABS0000018","9,19","9,2","9,19","9,2","-0,54",8515,6,"78,34",0,0,0,
1033,"2011-12-29",10,"ASSECOBS","PLABS0000018","9,2","9,27","9,2","9,27","0,76",1974,7,"18,19",0,0,0,
