"LP.","Data","Typ instrumentu","Nazwa","ISIN","Kurs otwarcia","Kurs maksymalny","Kurs minimalny","Kurs zamkniecia","Zmiana","Wolumen obrotu","Liczba transakcji","Wartosc obrotu w tys. zl","Liczba otwartych pozycji","Wartosc otwartych pozycji w mln zl","Cena nominalna obligacji","Waluta"
1,"2002-01-28",10,"OPTIMUS","PLOPTTC00011",22,22,14,"16,5","-23,96",474605,1961,"15808,54",0,0,0,
2,"2002-01-29",10,"OPTIMUS","PLOPTTC00011","16,8","17,2","16,1","16,25","-1,52",120374,638,"4042,6",0,0,0,
3,"2002-01-30",10,"OPTIMUS","PLOPTTC00011","16,1","16,25","15,2","15,9","-2,15",54514,347,"1716,4",0,0,0,
4,"2002-01-31",10,"OPTIMUS","PLOPTTC00011","16,1","16,1","15,4","15,7","-1,26",21763,184,"683,18",0,0,0,
5,"2002-02-01",10,"OPTIMUS","PLOPTTC00011","15,9","15,9","14,6","14,9","-5,1",54885,335,"1674,53",0,0,0,
6,"2002-02-04",10,"OPTIMUS","PLOPTTC00011","14,2","14,5","12,7","12,85","-13,76",384594,585,"10105,12",0,0,0,
7,"2002-02-05",10,"OPTIMUS","PLOPTTC00011","12,9","13,7","12,55","13,4","4,28",80719,436,"2148,44",0,0,0,
8,"2002-02-06",10,"OPTIMUS","PLOPTTC00011","13,8","13,9",13,13,"-2,99",63137,233,"1692,67",0,0,0,
9,"2002-02-07",10,"OPTIMUS","PLOPTTC00011","13,1","13,3","12,95",13,0,22125,148,"578,51",0,0,0,
10,"2002-02-08",10,"OPTIMUS","PLOPTTC00011","12,85","13,2","12,85","13,2","1,54",12872,107,"336,84",0,0,0,
11,"2002-02-11",10,"OPTIMUS","PLOPTTC00011","13,65","13,65","12,8","12,95","-1,89",23757,137,"625,27",0,0,0,
12,"2002-02-12",10,"OPTIMUS","PLOPTTC00011","12,95","13,05","12,5","12,5","-3,47",13202,107,"338,31",0,0,0,
13,"2002-02-13",10,"OPTIMUS","PLOPTTC00011","12,35","12,5",12,"12,15","-2,8",26175,161,"637,75",0,0,0,
14,"2002-02-14",10,"OPTIMUS","PLOPTTC00011","12,45","12,45",12,12,"-1,23",13782,94,"334,68",0,0,0,
15,"2002-02-15",10,"OPTIMUS","PLOPTTC00011",12,"12,15","11,35","11,5","-4,17",46160,211,"1073,75",0,0,0,
16,"2002-02-18",10,"OPTIMUS","PLOPTTC00011","11,75","11,75","10,55","10,75","-6,52",67204,321,"1462,89",0,0,0,
17,"2002-02-19",10,"OPTIMUS","PLOPTTC00011","10,7","10,7","10,05","10,35","-3,72",52124,235,"1085,6",0,0,0,
18,"2002-02-20",10,"OPTIMUS","PLOPTTC00011","10,25","10,45","10,1","10,35",0,43952,211,"899,41",0,0,0,
19,"2002-02-21",10,"OPTIMUS","PLOPTTC00011","10,6","11,2","10,5","10,8","4,35",80312,393,"1750,03",0,0,0,
20,"2002-02-22",10,"OPTIMUS","PLOPTTC00011","10,7",11,"10,6",11,"1,85",28525,174,"618,47",0,0,0,
21,"2002-02-25",10,"OPTIMUS","PLOPTTC00011",12,"13,9","11,7","12,8","16,36",316587,1219,"8157,07",0,0,0,
22,"2002-02-26",10,"OPTIMUS","PLOPTTC00011","13,45","13,45","12,6","12,75","-0,39",268922,664,"7052,77",0,0,0,
23,"2002-02-27",10,"OPTIMUS","PLOPTTC00011","12,7","12,85","12,15","12,6","-1,18",112991,325,"2842,64",0,0,0,
24,"2002-02-28",10,"OPTIMUS","PLOPTTC00011","12,6","12,7","12,35","12,7","0,79",21042,119,"528,21",0,0,0,
25,"2002-03-01",10,"OPTIMUS","PLOPTTC00011","12,75","12,75","12,3","12,45","-1,97",468076,103,"11522,68",0,0,0,
26,"2002-03-04",10,"OPTIMUS","PLOPTTC00011","12,8","12,9","11,5",12,"-3,61",222273,446,"5310,84",0,0,0,
27,"2002-03-05",10,"OPTIMUS","PLOPTTC00011",12,"12,15","11,7","11,75","-2,08",28648,154,"682,83",0,0,0,
28,"2002-03-06",10,"OPTIMUS","PLOPTTC00011","11,6","11,8","11,25","11,5","-2,13",43591,193,"997,62",0,0,0,
29,"2002-03-07",10,"OPTIMUS","PLOPTTC00011","11,65","11,65","11,2","11,4","-0,87",32722,132,"747,26",0,0,0,
30,"2002-03-08",10,"OPTIMUS","PLOPTTC00011","11,6","11,6","11,25","11,35","-0,44",29811,132,"679,46",0,0,0,
31,"2002-03-11",10,"OPTIMUS","PLOPTTC00011","11,45","11,45","11,3","11,3","-0,44",9544,59,"217,05",0,0,0,
32,"2002-03-12",10,"OPTIMUS","PLOPTTC00011","11,2","11,85","11,1","11,3",0,91806,241,"2101,95",0,0,0,
