"LP.","Data","Typ instrumentu","Nazwa","ISIN","Kurs otwarcia","Kurs maksymalny","Kurs minimalny","Kurs zamkniecia","Zmiana","Wolumen obrotu","Liczba transakcji","Wartosc obrotu w tys. zl","Liczba otwartych pozycji","Wartosc otwartych pozycji w mln zl","Cena nominalna obligacji","Waluta"
1,"2013-01-02",10,"BLACKLION","PLNFI0400015","0,72","0,77","0,72","0,77","1,32",30618,33,"23,55",0,0,0,"PLN"
2,"2013-01-03",10,"BLACKLION","PLNFI0400015","0,82","0,9","0,81","0,85","10,39",364320,129,"312,59",0,0,0,"PLN"
3,"2013-01-04",10,"BLACKLION","PLNFI0400015","0,83","0,86","0,81","0,86","1,18",19467,30,"16,07",0,0,0,"PLN"
4,"2013-01-07",10,"BLACKLION","PLNFI0400015","0,82","0,85","0,82","0,85","-1,16",20705,13,"17,34",0,0,0,"PLN"
5,"2013-01-08",10,"BLACKLION","PLNFI0400015","0,85","0,85","0,83","0,83","-2,35",15594,20,"13,17",0,0,0,"PLN"
6,"2013-01-09",10,"BLACKLION","PLNFI0400015","0,82","0,85","0,82","0,85","2,41",30375,22,"25,13",0,0,0,"PLN"
7,"2013-01-10",10,"BLACKLION","PLNFI0400015","0,85","0,87","0,83","0,86","1,18",38636,32,"32,97",0,0,0,"PLN"
8,"2013-01-11",10,"BLACKLION","PLNFI0400015","0,85","0,86","0,84","0,86",0,59140,40,"50,12",0,0,0,"PLN"
9,"2013-01-14",10,"BLACKLION","PLNFI0400015","0,84","0,85","0,83","0,85","-1,16",28142,22,"23,8",0,0,0,"PLN"
10,"2013-01-15",10,"BLACKLION","PLNFI0400015","0,85","0,86","0,84","0,86","1,18",18938,22,"16,15",0,0,0,"PLN"
11,"2013-01-16",10,"BLACKLION","PLNFI0400015","0,84","0,86","0,83","0,86",0,27092,17,"22,8",0,0,0,"PLN"
12,"2013-01-17",10,"BLACKLION","PLNFI0400015","0,84","0,86","0,84","0,85","-1,16",30464,16,"26,08",0,0,0,"PLN"
13,"2013-01-18",10,"BLACKLION","PLNFI0400015","0,84","0,9","0,84","0,88","3,53",373191,42,"325,83",0,0,0,"PLN"
14,"2013-01-21",10,"BLACKLION","PLNFI0400015","0,9","0,9","0,87","0,88",0,99928,32,"88,58",0,0,0,"PLN"
15,"2013-01-22",10,"BLACKLION","PLNFI0400015","0,88","0,93","0,87","0,9","2,27",153871,44,"136,91",0,0,0,"PLN"
16,"2013-01-23",10,"BLACKLION","PLNFI0400015","0,91","0,92","0,89","0,89","-1,11",101550,48,"92,34",0,0,0,"PLN"
17,"2013-01-24",10,"BLACKLION","PLNFI0400015","0,9","0,92","0,9","0,92","3,37",53689,18,"48,84",0,0,0,"PLN"
18,"2013-01-25",10,"BLACKLION","PLNFI0400015","0,91","0,92","0,91","0,91","-1,09",109286,20,"99,5",0,0,0,"PLN"
19,"2013-01-28",10,"BLACKLION","PLNFI0400015","0,91","0,92","0,91","0,91",0,73939,27,"67,65",0,0,0,"PLN"
20,"2013-01-29",10,"BLACKLION","PLNFI0400015","0,91","0,92","0,91","0,91",0,42961,18,"39,1",0,0,0,"PLN"
21,"2013-01-30",10,"BLACKLION","PLNFI0400015","0,89","0,92","0,89","0,9","-1,1",52627,21,"48,05",0,0,0,"PLN"
22,"2013-01-31",10,"BLACKLION","PLNFI0400015","0,89","0,94","0,89","0,94","4,44",61449,35,"57,03",0,0,0,"PLN"
23,"2013-02-01",10,"BLACKLION","PLNFI0400015","0,92","0,95","0,92","0,95","1,06",87513,34,"82,89",0,0,0,"PLN"
24,"2013-02-04",10,"BLACKLION","PLNFI0400015","0,97","0,97","0,96","0,96","1,05",24241,30,"23,46",0,0,0,"PLN"
25,"2013-02-05",10,"BLACKLION","PLNFI0400015","0,94","0,95","0,94","0,94","-2,08",63134,27,"59,35",0,0,0,"PLN"
26,"2013-02-06",10,"BLACKLION","PLNFI0400015","0,96","0,98","0,95","0,97","3,19",50285,41,"48,37",0,0,0,"PLN"
27,"2013-02-07",10,"BLACKLION","PLNFI0400015","0,97","0,97","0,95","0,97",0,15960,19,"15,36",0,0,0,"PLN"
